scenario,method,shift_strength,alarm_rate,planted_alarm_rate,median_selected_gap,median_selected_local_ess,median_selected_radius,median_search_cells
null,full_family_simultaneous,0.8,0.0,0.0,0.5917786136224565,2.452688394016567,1.3817116311136706,583.5
null,full_family_simultaneous,1.2,0.0,0.0,0.6514946614504646,1.4612356186437627,1.7664647685451897,548.5
null,same_data_search,0.8,1.0,0.0,0.5917786136224565,2.452688394016567,1.3817116311136706,583.5
null,same_data_search,1.2,1.0,0.0,0.6514946614504646,1.4612356186437627,1.7664647685451897,548.5
null,split_search_certified,0.8,0.0,0.0,0.19284629627527186,2.322024316379206,0.8032340213562745,566.5
null,split_search_certified,1.2,0.0,0.0,0.18029066810626157,2.088478937951853,0.846879170658679,524.0
null,split_search_naive,0.8,0.39,0.0,0.19284629627527186,2.322024316379206,0.8032340213562745,566.5
null,split_search_naive,1.2,0.38,0.0,0.18029066810626157,2.088478937951853,0.846879170658679,524.0
planted,full_family_simultaneous,0.8,0.45,0.14,0.7570955655280265,10.41381234377021,0.670356909163144,583.5
planted,full_family_simultaneous,1.2,0.26,0.06,0.7850871537964538,2.7622379748431496,1.2910028052802136,548.5
planted,same_data_search,0.8,1.0,0.02,0.8228028180009395,2.7773267164486612,1.3002029458251014,583.5
planted,same_data_search,1.2,1.0,0.05,0.8778192274829943,1.823222476554627,1.601033824407572,548.5
planted,split_search_certified,0.8,0.1,0.04,0.578767976064792,2.6549898063994206,0.7511126430333582,566.5
planted,split_search_certified,1.2,0.07,0.0,0.6368889663723986,2.1381699177025895,0.8369806037014467,524.0
planted,split_search_naive,0.8,0.77,0.07,0.578767976064792,2.6549898063994206,0.7511126430333582,566.5
planted,split_search_naive,1.2,0.81,0.03,0.6368889663723986,2.1381699177025895,0.8369806037014467,524.0
