scenario,method,shift_strength,seed,alarm,abstained,selected_group,selected_bin,selected_abs_gap,selected_local_ess,selected_ci_half_width,global_ess,n_cells,n_eligible_cells,selected_is_planted_group
null,naive_max,0.4,0,True,False,x2>1.5,"[0.43, 0.57]",0.41449248848830905,4.1046739419076745,0.8174033802099426,613.7269605439807,108,108,False
null,global_ess_gate,0.4,0,True,False,x2>1.5,"[0.43, 0.57]",0.41449248848830905,4.1046739419076745,0.8174033802099426,613.7269605439807,108,108,False
null,local_ess_gate,0.4,0,False,False,x1<0,"[0.57, 0.71]",0.1719420371462648,36.21476285614977,0.2751901840126282,613.7269605439807,108,62,False
null,simultaneous_ci,0.4,0,False,False,x2>1.5,"[0.43, 0.57]",0.41449248848830905,4.1046739419076745,0.8174033802099426,613.7269605439807,108,108,False
planted,naive_max,0.4,0,True,False,x0>0.5,"[0.14, 0.29]",0.6843992139115808,37.335720691902175,0.2710275829281222,613.7269605439807,108,108,True
planted,global_ess_gate,0.4,0,True,False,x0>0.5,"[0.14, 0.29]",0.6843992139115808,37.335720691902175,0.2710275829281222,613.7269605439807,108,108,True
planted,local_ess_gate,0.4,0,True,False,x0>0.5,"[0.14, 0.29]",0.6843992139115808,37.335720691902175,0.2710275829281222,613.7269605439807,108,62,True
planted,simultaneous_ci,0.4,0,True,False,x0>0.5,"[0.14, 0.29]",0.6843992139115808,37.335720691902175,0.2710275829281222,613.7269605439807,108,108,True
null,naive_max,0.4,1,True,False,x2>1.5,"[0.43, 0.57]",0.48528950667912285,4.269049006212404,0.8063372635949289,592.6338504634994,116,116,False
null,global_ess_gate,0.4,1,True,False,x2>1.5,"[0.43, 0.57]",0.48528950667912285,4.269049006212404,0.8063372635949289,592.6338504634994,116,116,False
null,local_ess_gate,0.4,1,True,False,x2>0.5,"[0.43, 0.57]",0.24056327521512752,20.503102422364602,0.36793619265681354,592.6338504634994,116,60,False
null,simultaneous_ci,0.4,1,False,False,x2>1.5,"[0.43, 0.57]",0.48528950667912285,4.269049006212404,0.8063372635949289,592.6338504634994,116,116,False
planted,naive_max,0.4,1,True,False,x1>1.5 & x2>1.5,"[0.14, 0.29]",0.8061116600568051,1.9564668804746448,1.1910940369207283,592.6338504634994,116,116,False
planted,global_ess_gate,0.4,1,True,False,x1>1.5 & x2>1.5,"[0.14, 0.29]",0.8061116600568051,1.9564668804746448,1.1910940369207283,592.6338504634994,116,116,False
planted,local_ess_gate,0.4,1,True,False,x0>1,"[0.00, 0.14]",0.6515358694015229,30.111097044451498,0.3036120550073118,592.6338504634994,116,60,False
planted,simultaneous_ci,0.4,1,True,False,x0>1.5,"[0.00, 0.14]",0.7893319903120222,14.856683810698343,0.4322364228566851,592.6338504634994,116,116,False
null,naive_max,0.4,2,True,False,x0>1 & x1>1,"[0.29, 0.43]",0.612574933723881,3.72304093967178,0.8569198177239289,596.6069191296228,106,106,False
null,global_ess_gate,0.4,2,True,False,x0>1 & x1>1,"[0.29, 0.43]",0.612574933723881,3.72304093967178,0.8569198177239289,596.6069191296228,106,106,False
null,local_ess_gate,0.4,2,True,False,x1<-0.5,"[0.29, 0.43]",0.22487226058185444,30.827242230948503,0.29779798523474754,596.6069191296228,106,62,False
null,simultaneous_ci,0.4,2,False,False,x0>1 & x1>1,"[0.29, 0.43]",0.612574933723881,3.72304093967178,0.8569198177239289,596.6069191296228,106,106,False
planted,naive_max,0.4,2,True,False,x0>1.5 & x2>1,"[0.00, 0.14]",0.6435784032360079,4.9899542628412235,0.7401859040113337,596.6069191296228,106,106,False
planted,global_ess_gate,0.4,2,True,False,x0>1.5 & x2>1,"[0.00, 0.14]",0.6435784032360079,4.9899542628412235,0.7401859040113337,596.6069191296228,106,106,False
planted,local_ess_gate,0.4,2,True,False,x0>0.5,"[0.14, 0.29]",0.5854175035558941,53.655476039290356,0.22572624990754642,596.6069191296228,106,62,True
planted,simultaneous_ci,0.4,2,True,False,x0>0.5,"[0.14, 0.29]",0.5854175035558941,53.655476039290356,0.22572624990754642,596.6069191296228,106,106,True
null,naive_max,0.4,3,True,False,x2>1.5,"[0.57, 0.71]",0.35675138616512253,10.225349167496308,0.5127144597228179,628.2132684573555,96,96,False
null,global_ess_gate,0.4,3,True,False,x2>1.5,"[0.57, 0.71]",0.35675138616512253,10.225349167496308,0.5127144597228179,628.2132684573555,96,96,False
null,local_ess_gate,0.4,3,False,False,x2>1,"[0.57, 0.71]",0.1902776407932977,21.10300220114864,0.35689668743859354,628.2132684573555,96,58,False
null,simultaneous_ci,0.4,3,False,False,x2>1.5,"[0.57, 0.71]",0.35675138616512253,10.225349167496308,0.5127144597228179,628.2132684573555,96,96,False
planted,naive_max,0.4,3,True,False,x0>0.5,"[0.29, 0.43]",0.6052484216467631,29.767786400238386,0.30049784981418765,628.2132684573555,96,96,True
planted,global_ess_gate,0.4,3,True,False,x0>0.5,"[0.29, 0.43]",0.6052484216467631,29.767786400238386,0.30049784981418765,628.2132684573555,96,96,True
planted,local_ess_gate,0.4,3,True,False,x0>0.5,"[0.29, 0.43]",0.6052484216467631,29.767786400238386,0.30049784981418765,628.2132684573555,96,58,True
planted,simultaneous_ci,0.4,3,True,False,x0>0.5,"[0.29, 0.43]",0.6052484216467631,29.767786400238386,0.30049784981418765,628.2132684573555,96,96,True
null,naive_max,0.4,4,True,False,x0>1.5 & x1>1.5,"[0.43, 0.57]",0.4838583992615138,2.9649499617611963,0.9639842628514336,634.0019844091598,111,111,False
null,global_ess_gate,0.4,4,True,False,x0>1.5 & x1>1.5,"[0.43, 0.57]",0.4838583992615138,2.9649499617611963,0.9639842628514336,634.0019844091598,111,111,False
null,local_ess_gate,0.4,4,False,False,x1<0,"[0.43, 0.57]",0.1768409197763783,45.50695328468582,0.24605927957231719,634.0019844091598,111,67,False
