scenario,method,shift_strength,alarm_rate,abstention_rate,planted_selection_rate,alarm_and_planted_rate,median_selected_gap,median_selected_local_ess,median_global_ess,median_eligible_cells
null,global_ess_gate,0.4,0.99,0.0,0.005,0.005,0.3869792629009896,4.547057638513859,624.7141591486684,104.0
null,global_ess_gate,0.8,0.99,0.01,0.005,0.005,0.5946724231914811,1.6345948768144258,185.2615830310399,110.0
null,global_ess_gate,1.2,0.46,0.54,0.0,0.0,0.6383016054090457,1.0677067943415475,46.784884997951735,0.0
null,global_ess_gate,1.6,0.005,0.995,0.01,0.0,0.649362077987891,1.1766979730740228,16.574524576225887,0.0
null,local_ess_gate,0.4,0.375,0.0,0.085,0.035,0.18700299203993231,26.733829866584976,624.7141591486684,61.0
null,local_ess_gate,0.8,0.335,0.0,0.09,0.03,0.1812220960494137,23.816021793519237,185.2615830310399,28.0
null,local_ess_gate,1.2,0.08,0.045,0.08,0.0,0.09298833431087133,23.2423116484038,46.784884997951735,3.0
null,local_ess_gate,1.6,0.0,0.84,0.03,0.0,0.051417991318055745,21.903280855723203,16.574524576225887,0.0
null,naive_max,0.4,0.99,0.0,0.005,0.005,0.3869792629009896,4.547057638513859,624.7141591486684,104.0
null,naive_max,0.8,1.0,0.0,0.005,0.005,0.5946724231914811,1.6345948768144258,185.2615830310399,110.0
null,naive_max,1.2,0.99,0.0,0.0,0.0,0.6383016054090457,1.0677067943415475,46.784884997951735,97.0
null,naive_max,1.6,0.98,0.0,0.01,0.005,0.649362077987891,1.1766979730740228,16.574524576225887,82.0
null,simultaneous_ci,0.4,0.0,0.0,0.005,0.0,0.3869792629009896,4.547057638513859,624.7141591486684,104.0
null,simultaneous_ci,0.8,0.0,0.0,0.005,0.0,0.5946724231914811,1.6345948768144258,185.2615830310399,110.0
null,simultaneous_ci,1.2,0.0,0.0,0.0,0.0,0.6383016054090457,1.0677067943415475,46.784884997951735,97.0
null,simultaneous_ci,1.6,0.0,0.0,0.01,0.0,0.649362077987891,1.1766979730740228,16.574524576225887,82.0
planted,global_ess_gate,0.4,1.0,0.0,0.2,0.2,0.7719795916243313,5.634173495159764,624.7141591486684,104.0
planted,global_ess_gate,0.8,0.99,0.01,0.14,0.135,0.8124207122615303,2.588246486611016,185.2615830310399,110.0
planted,global_ess_gate,1.2,0.46,0.54,0.13,0.05,0.846123351219201,1.9443477216256164,46.784884997951735,0.0
planted,global_ess_gate,1.6,0.005,0.995,0.175,0.005,0.8474499299154776,1.5852614992495437,16.574524576225887,0.0
planted,local_ess_gate,0.4,1.0,0.0,0.77,0.77,0.6414995106989925,30.098425829722355,624.7141591486684,61.0
planted,local_ess_gate,0.8,1.0,0.0,0.605,0.605,0.5750159067192497,24.22080936406767,185.2615830310399,28.0
planted,local_ess_gate,1.2,0.69,0.045,0.18,0.165,0.3548482846786247,22.78176731630802,46.784884997951735,3.0
planted,local_ess_gate,1.6,0.07,0.84,0.04,0.025,0.1621199095772873,21.763614924524703,16.574524576225887,0.0
planted,naive_max,0.4,1.0,0.0,0.2,0.2,0.7719795916243313,5.634173495159764,624.7141591486684,104.0
planted,naive_max,0.8,1.0,0.0,0.14,0.14,0.8124207122615303,2.588246486611016,185.2615830310399,110.0
planted,naive_max,1.2,1.0,0.0,0.13,0.13,0.846123351219201,1.9443477216256164,46.784884997951735,97.0
planted,naive_max,1.6,0.995,0.0,0.175,0.17,0.8474499299154776,1.5852614992495437,16.574524576225887,82.0
planted,simultaneous_ci,0.4,0.975,0.0,0.525,0.515,0.6791126773637135,19.987104342219688,624.7141591486684,104.0
planted,simultaneous_ci,0.8,0.79,0.0,0.49,0.425,0.6955496564530764,13.710173392493108,185.2615830310399,110.0
planted,simultaneous_ci,1.2,0.45,0.0,0.335,0.245,0.7513277235999378,5.845978056001025,46.784884997951735,97.0
planted,simultaneous_ci,1.6,0.19,0.0,0.23,0.07,0.8095477492165819,1.8570892945964128,16.574524576225887,82.0
