scenario,weight_mode,method,shift_strength,seed,alarm,selected_group,selected_bin,selected_abs_gap,selected_local_ess,selected_label_radius,selected_weight_radius,global_ess,weight_rmse,log_weight_corr,selected_is_planted_group
null,oracle,naive_max,0.8,0,True,x1>1.5 & x2>1,"[0.14, 0.29]",0.7865563596973846,1.6841525176894852,1.2837829136523915,0.0,169.03080132330638,0.0,1.0,False
null,oracle,label_ci,0.8,0,False,x1>1.5 & x2>1,"[0.14, 0.29]",0.7865563596973846,1.6841525176894852,1.2837829136523915,0.0,169.03080132330638,0.0,1.0,False
null,oracle,nuisance_ci,0.8,0,False,x1>1.5 & x2>1,"[0.14, 0.29]",0.7865563596973846,1.6841525176894852,1.2837829136523915,0.0,169.03080132330638,0.0,1.0,False
planted,oracle,naive_max,0.8,0,True,x0>1 & x1>1,"[0.00, 0.14]",0.8809255805821187,1.112860047768243,1.579290507415049,0.0,169.03080132330638,0.0,1.0,False
planted,oracle,label_ci,0.8,0,True,x0>0.5,"[0.14, 0.29]",0.6978581252972049,20.075445707874266,0.37183451715414106,0.0,169.03080132330638,0.0,1.0,True
planted,oracle,nuisance_ci,0.8,0,True,x0>0.5,"[0.14, 0.29]",0.6978581252972049,20.075445707874266,0.37183451715414106,0.0,169.03080132330638,0.0,1.0,True
null,logistic_plugin,naive_max,0.8,0,True,x1>1.5 & x2>1,"[0.14, 0.29]",0.7868111402358217,1.611584548001726,1.3114190704717965,0.12722399602116388,180.8633589036873,0.42881466811983004,0.9978251530392885,False
null,logistic_plugin,label_ci,0.8,0,False,x1>1.5 & x2>1,"[0.14, 0.29]",0.7868111402358217,1.611584548001726,1.3114190704717965,0.12722399602116388,180.8633589036873,0.42881466811983004,0.9978251530392885,False
null,logistic_plugin,nuisance_ci,0.8,0,False,x1>1.5 & x2>1,"[0.14, 0.29]",0.7868111402358217,1.611584548001726,1.3114190704717965,0.12722399602116388,180.8633589036873,0.42881466811983004,0.9978251530392885,False
planted,logistic_plugin,naive_max,0.8,0,True,x0>1 & x1>1,"[0.00, 0.14]",0.8802110412789492,1.0982409621804594,1.5886170639957697,0.17971343379326946,180.8633589036873,0.42881466811983004,0.9978251530392885,False
planted,logistic_plugin,label_ci,0.8,0,True,x0>0.5,"[0.14, 0.29]",0.697383779380529,19.60678869701588,0.3759800557505473,0.10727245473526682,180.8633589036873,0.42881466811983004,0.9978251530392885,True
planted,logistic_plugin,nuisance_ci,0.8,0,True,x0>0.5,"[0.14, 0.29]",0.697383779380529,19.60678869701588,0.3759800557505473,0.10727245473526682,180.8633589036873,0.42881466811983004,0.9978251530392885,True
null,logistic_crossfit,naive_max,0.8,0,True,x1>1.5 & x2>1,"[0.14, 0.29]",0.7862777294073143,1.7594329120732954,1.256018235660463,0.14607371569849606,182.64389157333065,0.5369439969020054,0.9894483087484436,False
null,logistic_crossfit,label_ci,0.8,0,False,x1>1.5 & x2>1,"[0.14, 0.29]",0.7862777294073143,1.7594329120732954,1.256018235660463,0.14607371569849606,182.64389157333065,0.5369439969020054,0.9894483087484436,False
null,logistic_crossfit,nuisance_ci,0.8,0,False,x1>1.5 & x2>1,"[0.14, 0.29]",0.7862777294073143,1.7594329120732954,1.256018235660463,0.14607371569849606,182.64389157333065,0.5369439969020054,0.9894483087484436,False
planted,logistic_crossfit,naive_max,0.8,0,True,x0>1 & x1>1,"[0.00, 0.14]",0.8821122655499709,1.1375125614143389,1.562083338061808,0.11277726079975259,182.64389157333065,0.5369439969020054,0.9894483087484436,False
planted,logistic_crossfit,label_ci,0.8,0,True,x0>0.5,"[0.14, 0.29]",0.6979682602563184,20.507567833700687,0.3678961324237682,0.3768459955579432,182.64389157333065,0.5369439969020054,0.9894483087484436,True
planted,logistic_crossfit,nuisance_ci,0.8,0,False,x0>1 & x1>1,"[0.00, 0.14]",0.8821122655499709,1.1375125614143389,1.562083338061808,0.11277726079975259,182.64389157333065,0.5369439969020054,0.9894483087484436,False
null,oracle,naive_max,0.8,1,True,x1>1.5 & x2>1,"[0.86, 1.00]",0.7763650248583972,1.3862900611911526,1.4238030576245788,0.0,148.79106694397015,0.0,1.0,False
null,oracle,label_ci,0.8,1,False,x1>1.5 & x2>1,"[0.86, 1.00]",0.7763650248583972,1.3862900611911526,1.4238030576245788,0.0,148.79106694397015,0.0,1.0,False
null,oracle,nuisance_ci,0.8,1,False,x1>1.5 & x2>1,"[0.86, 1.00]",0.7763650248583972,1.3862900611911526,1.4238030576245788,0.0,148.79106694397015,0.0,1.0,False
planted,oracle,naive_max,0.8,1,True,x0>1.5 & x2>1,"[0.00, 0.14]",0.8251568079402426,3.165735773473525,0.9421925027574269,0.0,148.79106694397015,0.0,1.0,False
planted,oracle,label_ci,0.8,1,True,x0>1.5,"[0.00, 0.14]",0.8203778694205823,8.56800634093053,0.5727130595899887,0.0,148.79106694397015,0.0,1.0,False
planted,oracle,nuisance_ci,0.8,1,True,x0>1.5,"[0.00, 0.14]",0.8203778694205823,8.56800634093053,0.5727130595899887,0.0,148.79106694397015,0.0,1.0,False
null,logistic_plugin,naive_max,0.8,1,True,x1>1 & x2>1,"[0.86, 1.00]",0.803260424666212,1.3204363783902788,1.461729455482346,0.5610976477497585,173.0168259272053,0.6260605083260203,0.9960164054197277,False
null,logistic_plugin,label_ci,0.8,1,False,x1>1 & x2>1,"[0.86, 1.00]",0.803260424666212,1.3204363783902788,1.461729455482346,0.5610976477497585,173.0168259272053,0.6260605083260203,0.9960164054197277,False
null,logistic_plugin,nuisance_ci,0.8,1,False,x1>1 & x2>1,"[0.86, 1.00]",0.803260424666212,1.3204363783902788,1.461729455482346,0.5610976477497585,173.0168259272053,0.6260605083260203,0.9960164054197277,False
planted,logistic_plugin,naive_max,0.8,1,True,x0>1.5 & x2>1,"[0.00, 0.14]",0.8425331086587072,3.0726611507413346,0.9582270008847678,0.13624759921750987,173.0168259272053,0.6260605083260203,0.9960164054197277,False
planted,logistic_plugin,label_ci,0.8,1,True,x0>1.5,"[0.00, 0.14]",0.8348561172188137,8.331870576354003,0.581908205664465,0.1378506794594142,173.0168259272053,0.6260605083260203,0.9960164054197277,False
planted,logistic_plugin,nuisance_ci,0.8,1,False,x0>1.5 & x2>1,"[0.00, 0.14]",0.8425331086587072,3.0726611507413346,0.9582270008847678,0.13624759921750987,173.0168259272053,0.6260605083260203,0.9960164054197277,False
null,logistic_crossfit,naive_max,0.8,1,True,x1>1.5 & x2>1,"[0.86, 1.00]",0.7731084407345158,1.3943549885893098,1.4224567207485883,0.5300564760386536,177.33068021545748,0.7068819462418585,0.9914648282341604,False
null,logistic_crossfit,label_ci,0.8,1,False,x1>1.5 & x2>1,"[0.86, 1.00]",0.7731084407345158,1.3943549885893098,1.4224567207485883,0.5300564760386536,177.33068021545748,0.7068819462418585,0.9914648282341604,False
null,logistic_crossfit,nuisance_ci,0.8,1,False,x1>1.5 & x2>1,"[0.86, 1.00]",0.7731084407345158,1.3943549885893098,1.4224567207485883,0.5300564760386536,177.33068021545748,0.7068819462418585,0.9914648282341604,False
planted,logistic_crossfit,naive_max,0.8,1,True,x0>1 & x1>1,"[0.00, 0.14]",0.9006803703962846,1.7758404635811353,1.2604446094022046,0.23923314429290599,177.33068021545748,0.7068819462418585,0.9914648282341604,False
planted,logistic_crossfit,label_ci,0.8,1,True,x0>1.5,"[0.00, 0.14]",0.8332780482475425,8.282550745335342,0.5836381689224239,0.23317345146685137,177.33068021545748,0.7068819462418585,0.9914648282341604,False
planted,logistic_crossfit,nuisance_ci,0.8,1,False,x0>1 & x1>1,"[0.00, 0.14]",0.9006803703962846,1.7758404635811353,1.2604446094022046,0.23923314429290599,177.33068021545748,0.7068819462418585,0.9914648282341604,False
null,oracle,naive_max,0.8,2,True,x0>1 & x1>1,"[0.29, 0.43]",0.6119618670470212,3.1971333849751016,0.9310814289194979,0.0,104.45144000095557,0.0,0.9999999999999998,False
null,oracle,label_ci,0.8,2,False,x0>1 & x1>1,"[0.29, 0.43]",0.6119618670470212,3.1971333849751016,0.9310814289194979,0.0,104.45144000095557,0.0,0.9999999999999998,False
null,oracle,nuisance_ci,0.8,2,False,x0>1 & x1>1,"[0.29, 0.43]",0.6119618670470212,3.1971333849751016,0.9310814289194979,0.0,104.45144000095557,0.0,0.9999999999999998,False
planted,oracle,naive_max,0.8,2,True,x1<-0.5,"[0.00, 0.14]",0.589037988092364,18.696445465446324,0.38502463570346346,0.0,104.45144000095557,0.0,0.9999999999999998,False
planted,oracle,label_ci,0.8,2,True,x1<-0.5,"[0.00, 0.14]",0.589037988092364,18.696445465446324,0.38502463570346346,0.0,104.45144000095557,0.0,0.9999999999999998,False
planted,oracle,nuisance_ci,0.8,2,True,x1<-0.5,"[0.00, 0.14]",0.589037988092364,18.696445465446324,0.38502463570346346,0.0,104.45144000095557,0.0,0.9999999999999998,False
null,logistic_plugin,naive_max,0.8,2,True,x0>1 & x1>1,"[0.29, 0.43]",0.6149279536373987,3.336701033251589,0.9107348585779335,0.2643603370351875,221.85918067516542,1.6687775198796109,0.9789659638625439,False
null,logistic_plugin,label_ci,0.8,2,False,x0>1 & x1>1,"[0.29, 0.43]",0.6149279536373987,3.336701033251589,0.9107348585779335,0.2643603370351875,221.85918067516542,1.6687775198796109,0.9789659638625439,False
null,logistic_plugin,nuisance_ci,0.8,2,False,x0>1 & x1>1,"[0.29, 0.43]",0.6149279536373987,3.336701033251589,0.9107348585779335,0.2643603370351875,221.85918067516542,1.6687775198796109,0.9789659638625439,False
planted,logistic_plugin,naive_max,0.8,2,True,x0>1.5 & x2>1,"[0.00, 0.14]",0.6359859392080194,4.332354639189509,0.7992609732447911,1.0,221.85918067516542,1.6687775198796109,0.9789659638625439,False
planted,logistic_plugin,label_ci,0.8,2,True,x0>0.5,"[0.00, 0.14]",0.5775132312018194,24.02958995503611,0.33937310938685444,1.0,221.85918067516542,1.6687775198796109,0.9789659638625439,True
